Escrutinio Finalizdo
Verde,,
41,,
Agrupaciones,Centro,Claustro
Lista 3 Franja Morada,835,723,Azul
Lista 7 Unidad,48,42
Lista 8 La Fuente,1056,891,VerdeAmarillo
Lista 10 Frente estudiantil de Izquierda e Indeptes y de Lucha,110,100
Lista 13 ¡Ya basta!- Las Rojas- Nuevo MAS,67,67
En Blanco,132,119
TOTAL,2248,1942
