Escrutinio finalizado
Verde,,
41,,
Agrupaciones,Centro,Claustro
Lista 3 Franja Morada,96,94
Lista 4 Frente de Izquierda,43,41
Lista 8 miles en Perio,177,172
Lista 13 Ya Basta!- Nuevo MAS,46,46
Lista 17 Agrupación Rodolfo Walsh,1980,1946,VerdeAmarillo
Lista 20 Agrupación Fandango,748,784,Azul
Lista 31 Agrupación Jorge Massetti,150,147
Lista 69 Comunicadores para Latinoamérica (COPLA),270,276
Blanco,17,15
Nulos,18,16
TOTAL,3545,3537
