Escrutinio finalizado
Verde,,
41,,
Agrupaciones,Centro,Claustro
Lista 3 Franja Morada,1675,1542,Amarillo
Lista 10 La pinto,301,281
Lista 25 Minga,696,639,Azul
Blanco,22,19
Anulados,24,20
TOTAL,2718,2501
