Escrutinio Finalizado
Verde,,
41,,
Agrupaciones,Centro,Claustro
Lista 5 Agrupación Reformista Estudiantil (ARES),418,381,Azul
Lista 8 Tupac Amarú,131,137
Lista 11 Frente Natural,924,832,VerdeAmarillo
Lista 1 Frente de izquierda,49,44
Lista 14 La célula (UJS – Partido obrero),47,42
Anulados,,
TOTAL,1569,1436
