Escrutinio finalizado
Verde,,
41,,
Agrupaciones,Centro,Claustro
Lista 1 El Pelo de Einstein,452,391
Lista 2 Colectivo Estudiantil,1020,938,VerdeAmarillo
Lista 4 Frente de Izquierda (En Clave Roja),72,62
Lista 13 Ya Basta + Las Rojas + Nuevo MAS,38,26
Lista 17 Suma,976,817,Azul
Blancos,62,51
Nulos,55,56
TOTAL,2675,2341
