Escrutinio Finalizado
Verde,,
41,,
Agrupaciones,Centro,Claustro
Lista 1 Aule,765,714
Lista 3 Franja Morada,522,483
Lista 10 FILPSI,1459,1342,Azul
Lista 13 ¡Ya Basta! – Las Rojas – Nuevo Mas + indep,161,146
Lista 22 Frente de Estudiantes por Psico,1694,1565,VerdeAmarillo
Blancos,72,75
Nulos,48,45
Observados,2,1	 
TOTAL,4723,4371
