Escrutinio finalizado
Verde,,
50,,
Agrupaciones,Centro,Claustro
Lista 4 Frente de Estudiantes de Izquierda,118,117 
Lista 8 Simón Bolivar,186,192
Lista 13 ¡ya Basta!,25,24 
Lista 16 Pucará,41,39 
Lista 17 Agrupación 17 de Octubre,110,113 
Lista 24 Gustavo Legardón,141,152 
Lista 26 26 de Junio,585,518,VerdeAmarillo
Lista 69 Ramón Carrillo,36,38 
Blancos,10,59
Impugnados,12,12
TOTAL,1254,1205
