Escrutinio finalizado
Verde,,
41,,
Agrupaciones,Centro,Claustro
Lista 20 somos una nueva facultad,3604,3071,Azul
Lista 4 frente de izquierda,123,103
Lista 3 Franja Morada,632,574
Lista 17 Remediar,4173,3543,VerdeAmarillo
Lista 25 La Carrillo - Ferrara,559,619
TOTAL,9091,7910
