Escrutinio Finalizado - Restan completar datos de minorías
Verde,,
41,,
Agrupaciones,Centro,Claustro
Ya Basta – Las Rojas – Nuevo MAS,29,31 
Unite,22,20
Franja Morada,2605,2564,Azul
Defendamos nuestros derechos,371,423
Estudiantes de Abogacía x Vos,2625,2735,VerdeAmarillo
Agrupación reformista nuevo derecho,63,66
Todos por derecho,288,310
Frente de IZQ-Juventud del PTS-la IZQ en derecho,51,53
AD HOC,112,107
TOTAL,6427,6430
