Escrutinio finalizado
Verde,,
41,,
Agrupaciones,Centro,Claustro
Lista 1 AULE,2206,1910,VerdeAmarillo
Lista 3 Franja Morada,247,219
Lista 4 Tesis XI-Agrupación Mariano Ferreyra,429,375
Lista 10 UniTE - CEPA,193,172
Lista 13 Ya Basta + Las Rojas + Nuevo MAS,174,157
Lista 17 Proyecto Humanidades,2077,1879,Azul
Lista 26 Santiago Pampillón en el MUI,95,74
Lista 69 Utopía,967,879
Blancos	,98,90
Nulos	,80,74
Observados,2,3
TOTAL,6568,5832
