Escrutinio Finalizado
Verde,,
41,,
Agrupaciones,Centro,Claustro
Lista 3 Franja Morada,585,500,Amarillo
Lista 25 Cambium,508,415,Azul
Blancos,35,35
Nulos,11,11
TOTAL,1139,961
