Escrutinio finalizado
Verde,,
41,,
Agrupaciones,Centro,Claustro
Lista 1 Cinética,349,333
Lista 2 Gradiente + Estudiantes Independientes,59,58
Lista 3 La tercera Posición,335,321
Lista 4 Franja Morada,2042,1868,VerdeAmarillo
Lista 8 En clave roja,42,33
Lista 10 Unidad,1935,1730,Azul
Lista 13 ¡Ya basta! – Las rojas,45,45
Blancos	,110,85
Nulos	,60,57
Impugnados,1,1
Observados,1,1
TOTAL,4979,4532
