rojo,
Agrupaciones,Centro,Claustro
Lista 1 MUECE,1636,1456
Lista 2 Sumak Kawsay,508,499
Lista 14 Frente de Izquierda,62,59
Lista 17 Asimetría,270,248
Lista 133 Franja Morada,2797,2518
Blancos,51,61
Anulados,43,34
TOTAL,5367,4875
