Escrutinio finalizado
Verde,,
41,,
Agrupaciones,Centro,Claustro
Lista 1 MUECE,3231,2878
Lista 2 Sumak Kawsay,1157,1109
Lista 14 Frente de Izquierda y de los Trabajadores en Económicas,98,83
Lista 17 Asimetría,396,365
Lista 53 Agrupación Liberal Alberdi,206,0
Lista 133 Franja Morada,5887,5328
Blancos,54,623
Anulados,33,33
TOTAL,11062,10419
